",title,ticket_price,Day of the Week,Theater Type"
"43,Terminator Salvation,267.64,Weekend,multiplex"
"44,Furious 7,133.51,Weekend,multiplex"
"45,World War Z,587.67,Weekday,multiplex"
"46,X-Men: Days of Future Past,508.49,Weekend,multiplex"
"47,Star Trek Into Darkness,526.27,Weekday,multiplex"
"48,Jack the Giant Slayer,568.98,Weekend,multiplex"
"49,The Great Gatsby,142.55,Weekday,multiplex"
"50,Prince of Persia: The Sands of Time,292.8,Weekday,multiplex"
"51,Pacific Rim,135.52,Weekend,multiplex"
"52,Transformers: Dark of the Moon,205.4,Weekend,single screen"
"53,Indiana Jones and the Kingdom of the Crystal Skull,214.68,Weekday,single screen"
"54,The Good Dinosaur,334.55,Weekday,single screen"
"55,Brave,234.28,Weekend,multiplex"
"56,Star Trek Beyond,150.49,Weekday,single screen"
"57,WALL·E,183.75,Weekend,multiplex"
"58,Rush Hour 3,173.64,Weekend,multiplex"
"59,2012,586.54,Weekend,single screen"
"60,A Christmas Carol,479.65,Weekend,multiplex"
"61,Jupiter Ascending,583.88,Weekday,single screen"
"62,The Legend of Tarzan,319.87,Weekend,single screen"
"63,""The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"",239.18,Weekday,single screen"
"64,X-Men: Apocalypse,499.15,Weekend,multiplex"
"65,The Dark Knight,263.13,Weekday,single screen"
"66,Up,249.69,Weekend,multiplex"
"67,Monsters vs Aliens,216.25,Weekday,single screen"
"68,Iron Man,164.84,Weekday,single screen"
"69,Hugo,228.23,Weekend,single screen"
"70,Wild Wild West,277.66,Weekend,multiplex"
"71,The Mummy: Tomb of the Dragon Emperor,437.0,Weekend,multiplex"
"72,Suicide Squad,131.28,Weekend,multiplex"
"73,Evan Almighty,205.25,Weekday,single screen"
"74,Edge of Tomorrow,504.51,Weekend,single screen"
"75,Waterworld,173.46,Weekday,multiplex"
"76,G.I. Joe: The Rise of Cobra,271.32,Weekday,multiplex"
"77,Inside Out,532.33,Weekend,multiplex"
"78,The Jungle Book,177.46,Weekday,multiplex"
"79,Iron Man 2,141.37,Weekday,multiplex"
"80,Snow White and the Huntsman,342.27,Weekday,multiplex"
"81,Maleficent,251.21,Weekday,single screen"
"82,Dawn of the Planet of the Apes,381.7,Weekend,multiplex"
"83,The Lovers,501.9,Weekend,single screen"
"84,47 Ronin,168.57,Weekend,single screen"
"85,Captain America: The Winter Soldier,390.35,Weekend,multiplex"
"86,Shrek Forever After,352.75,Weekday,multiplex"
"87,Tomorrowland,172.04,Weekday,single screen"
"88,Big Hero 6,412.0,Weekend,multiplex"
"89,Wreck-It Ralph,236.82,Weekend,multiplex"
"90,The Polar Express,343.92,Weekend,single screen"
"91,Independence Day: Resurgence,141.14,Weekday,single screen"
"92,How to Train Your Dragon,329.79,Weekend,single screen"
"93,Terminator 3: Rise of the Machines,253.23,Weekend,multiplex"
"94,Guardians of the Galaxy,511.19,Weekend,single screen"
"95,Interstellar,128.49,Weekday,multiplex"
"96,Inception,309.3,Weekday,single screen"
"97,Shin Godzilla,329.22,Weekday,single screen"
"98,The Hobbit: An Unexpected Journey,462.5,Weekday,single screen"
"99,The Fast and the Furious,387.14,Weekday,multiplex"
"100,The Curious Case of Benjamin Button,433.61,Weekday,multiplex"
"101,X-Men: First Class,488.52,Weekday,single screen"
"102,The Hunger Games: Mockingjay - Part 2,531.1,Weekday,single screen"
"103,The Sorcerer's Apprentice,256.94,Weekend,single screen"
"104,Poseidon,369.01,Weekend,multiplex"
"105,Alice Through the Looking Glass,520.05,Weekday,single screen"
"106,Shrek the Third,594.73,Weekday,multiplex"
"107,Warcraft,544.76,Weekend,single screen"
"108,Terminator Genisys,285.73,Weekday,single screen"
"109,The Chronicles of Narnia: The Voyage of the Dawn Treader,197.58,Weekday,single screen"
"110,Pearl Harbor,344.7,Weekday,single screen"
"111,Transformers,470.82,Weekend,single screen"
"112,Alexander,346.28,Weekend,single screen"
"113,Harry Potter and the Order of the Phoenix,341.59,Weekend,multiplex"
"114,Harry Potter and the Goblet of Fire,519.12,Weekend,single screen"
"115,Hancock,280.7,Weekend,multiplex"
"116,I Am Legend,529.9,Weekday,single screen"
"117,Charlie and the Chocolate Factory,303.4,Weekend,single screen"
"118,Ratatouille,264.12,Weekday,multiplex"
"119,Batman Begins,326.99,Weekday,single screen"
"120,Madagascar: Escape 2 Africa,481.22,Weekend,multiplex"
"121,Night at the Museum: Battle of the Smithsonian,163.0,Weekend,multiplex"
"122,X-Men Origins: Wolverine,198.21,Weekday,single screen"
"123,The Matrix Revolutions,575.72,Weekday,multiplex"
"124,Frozen,187.75,Weekday,multiplex"
"125,The Matrix Reloaded,383.86,Weekend,single screen"
"126,Thor: The Dark World,389.66,Weekend,multiplex"
"127,Mad Max: Fury Road,344.81,Weekend,single screen"
"128,Angels & Demons,422.37,Weekend,single screen"
"129,Thor,214.91,Weekend,single screen"
"130,Bolt,376.33,Weekday,single screen"
"131,G-Force,286.09,Weekend,multiplex"
"132,Wrath of the Titans,430.83,Weekday,single screen"
"133,Dark Shadows,170.61,Weekday,single screen"
"134,Mission: Impossible - Rogue Nation,385.44,Weekday,multiplex"
"135,The Wolfman,192.64,Weekend,single screen"
"136,Bee Movie,239.32,Weekend,single screen"
"137,Kung Fu Panda 2,209.35,Weekend,multiplex"
"138,The Last Airbender,191.42,Weekday,multiplex"
"139,Mission: Impossible III,512.86,Weekday,multiplex"
"140,White House Down,242.85,Weekday,multiplex"
"141,Mars Needs Moms,563.56,Weekday,multiplex"
"142,Flushed Away,584.96,Weekday,multiplex"
"143,Pan,385.63,Weekday,multiplex"
"144,Mr. Peabody & Sherman,171.5,Weekend,single screen"
"145,Troy,287.27,Weekend,multiplex"
"146,Madagascar 3: Europe's Most Wanted,498.87,Weekend,multiplex"
"147,Die Another Day,283.7,Weekend,multiplex"
"148,Ghostbusters,143.51,Weekday,single screen"
"149,Armageddon,378.39,Weekday,single screen"
"150,Men in Black II,522.56,Weekend,multiplex"
"151,Beowulf,497.96,Weekday,multiplex"
"152,Kung Fu Panda 3,187.56,Weekend,multiplex"
"153,Mission: Impossible - Ghost Protocol,436.38,Weekend,single screen"
"154,Rise of the Guardians,210.25,Weekend,single screen"
"155,Fun with Dick and Jane,209.1,Weekday,multiplex"
"156,The Last Samurai,537.04,Weekend,single screen"
"157,Exodus: Gods and Kings,224.83,Weekend,multiplex"
"158,Star Trek,231.62,Weekend,single screen"
"159,Spider-Man,100.33,Weekday,single screen"
"160,How to Train Your Dragon 2,535.33,Weekday,multiplex"
"161,Gods of Egypt,496.3,Weekend,multiplex"
"162,Stealth,413.66,Weekday,multiplex"
"163,Watchmen,475.13,Weekday,multiplex"
"164,Lethal Weapon 4,176.02,Weekday,single screen"
"165,Hulk,329.16,Weekday,single screen"
"166,G.I. Joe: Retaliation,275.61,Weekday,single screen"
"167,Sahara,146.89,Weekday,multiplex"
"168,Final Fantasy: The Spirits Within,343.07,Weekday,single screen"
"169,Captain America: The First Avenger,560.37,Weekday,multiplex"
"170,The World Is Not Enough,120.03,Weekday,single screen"
"171,Master and Commander: The Far Side of the World,245.73,Weekday,multiplex"
"172,The Twilight Saga: Breaking Dawn - Part 2,203.77,Weekend,multiplex"
"173,Happy Feet Two,219.07,Weekend,single screen"
"174,The Incredible Hulk,554.22,Weekday,multiplex"
"175,The BFG,334.03,Weekend,multiplex"
"176,The Revenant,333.15,Weekend,single screen"
"177,Turbo,480.29,Weekday,multiplex"
"178,Rango,177.25,Weekday,multiplex"
"179,Penguins of Madagascar,343.63,Weekday,multiplex"
"180,The Bourne Ultimatum,314.99,Weekend,single screen"
"181,Kung Fu Panda,398.46,Weekend,single screen"
"182,Ant-Man,599.78,Weekday,multiplex"
"183,The Hunger Games: Catching Fire,484.72,Weekday,single screen"
"184,Home,298.93,Weekday,multiplex"
"185,War of the Worlds,513.78,Weekend,multiplex"
"186,Bad Boys II,185.35,Weekend,multiplex"
"187,Puss in Boots,115.23,Weekend,multiplex"
"188,Salt,202.22,Weekend,multiplex"
"189,Noah,270.21,Weekday,single screen"
"190,The Adventures of Tintin,355.29,Weekday,multiplex"
"191,Harry Potter and the Prisoner of Azkaban,407.56,Weekday,single screen"
"192,Australia,555.3,Weekday,single screen"
"193,After Earth,354.93,Weekend,multiplex"
"194,Dinosaur,350.64,Weekend,multiplex"
"195,Night at the Museum: Secret of the Tomb,125.12,Weekday,single screen"
"196,Megamind,117.46,Weekday,single screen"
"197,Harry Potter and the Philosopher's Stone,375.58,Weekend,single screen"
"198,R.I.P.D.,319.09,Weekday,multiplex"
"199,Pirates of the Caribbean: The Curse of the Black Pearl,519.59,Weekend,single screen"
"200,The Hunger Games: Mockingjay - Part 1,180.34,Weekday,multiplex"
"201,The Da Vinci Code,112.49,Weekday,multiplex"
"202,Rio 2,324.52,Weekday,multiplex"
"203,X2,218.74,Weekday,single screen"
"204,Fast Five,124.81,Weekday,multiplex"
"205,Sherlock Holmes: A Game of Shadows,462.3,Weekday,multiplex"
"206,Clash of the Titans,155.8,Weekday,multiplex"
"207,Total Recall,404.16,Weekend,multiplex"
"208,The 13th Warrior,240.52,Weekend,multiplex"
"209,The Bourne Legacy,186.75,Weekend,single screen"
"210,Batman & Robin,289.88,Weekend,multiplex"
"211,How the Grinch Stole Christmas,500.72,Weekend,multiplex"
"212,The Day After Tomorrow,296.05,Weekday,single screen"
"213,Mission: Impossible II,475.38,Weekday,multiplex"
"214,The Perfect Storm,162.74,Weekend,single screen"
"215,Fantastic 4: Rise of the Silver Surfer,475.0,Weekday,multiplex"
"216,Life of Pi,500.0,Weekend,single screen"
"217,Ghost Rider,218.47,Weekend,single screen"
"218,Jason Bourne,438.7,Weekday,multiplex"
"219,Charlie's Angels: Full Throttle,382.89,Weekday,multiplex"
"220,Prometheus,564.57,Weekday,multiplex"
"221,Stuart Little 2,293.66,Weekend,single screen"
"222,Elysium,133.08,Weekday,single screen"
"223,The Chronicles of Riddick,382.0,Weekend,single screen"
"224,RoboCop,564.0,Weekend,multiplex"
"225,Speed Racer,513.43,Weekend,single screen"
"226,How Do You Know,362.37,Weekday,single screen"
"227,Knight and Day,487.62,Weekday,multiplex"
"228,Oblivion,217.21,Weekend,single screen"
"229,Star Wars: Episode III - Revenge of the Sith,272.54,Weekday,single screen"
"230,Star Wars: Episode II - Attack of the Clones,115.05,Weekday,multiplex"
"231,""Monsters, Inc."",580.75,Weekday,single screen"
"232,The Wolverine,433.93,Weekend,multiplex"
"233,Star Wars: Episode I - The Phantom Menace,566.6,Weekend,multiplex"
"234,The Croods,232.75,Weekday,multiplex"
"235,Asterix at the Olympic Games,405.73,Weekend,multiplex"
"236,Windtalkers,439.25,Weekday,multiplex"
"237,The Huntsman: Winter's War,258.77,Weekday,single screen"
"238,Teenage Mutant Ninja Turtles,405.0,Weekday,single screen"
"239,Gravity,232.0,Weekday,multiplex"
"240,Dante's Peak,573.0,Weekend,multiplex"
"241,Teenage Mutant Ninja Turtles: Out of the Shadows,542.43,Weekend,single screen"
"242,Fantastic Four,469.53,Weekend,multiplex"
"243,Night at the Museum,238.73,Weekday,multiplex"
"244,San Andreas,240.81,Weekday,multiplex"
"245,Tomorrow Never Dies,581.68,Weekday,single screen"
"246,The Patriot,105.14,Weekend,single screen"
"247,Ocean's Twelve,458.02,Weekday,multiplex"
"248,Mr. & Mrs. Smith,453.12,Weekend,multiplex"
"249,Insurgent,411.34,Weekend,single screen"
"250,The Aviator,595.05,Weekend,single screen"
"251,Gulliver's Travels,255.94,Weekend,multiplex"
"252,The Green Hornet,269.99,Weekend,multiplex"
"253,300: Rise of an Empire,139.47,Weekend,single screen"
"254,The Smurfs,321.4,Weekday,single screen"
"255,Home on the Range,230.52,Weekday,single screen"
"256,Allegiant,271.69,Weekend,multiplex"
"257,Real Steel,517.29,Weekend,single screen"
"258,The Smurfs 2,567.74,Weekday,multiplex"
"259,Speed 2: Cruise Control,192.87,Weekend,single screen"
"260,Ender's Game,286.25,Weekend,single screen"
"261,Live Free or Die Hard,564.32,Weekday,single screen"
"262,The Lord of the Rings: The Fellowship of the Ring,130.9,Weekend,single screen"
"263,Around the World in 80 Days,146.18,Weekend,multiplex"
"264,Ali,181.4,Weekend,multiplex"
"265,The Cat in the Hat,397.61,Weekday,single screen"
"266,""I, Robot"",175.24,Weekday,multiplex"
"267,Kingdom of Heaven,584.04,Weekday,single screen"
"268,Stuart Little,323.36,Weekend,single screen"
"269,The Princess and the Frog,350.76,Weekend,single screen"
"270,The Martian,223.33,Weekday,single screen"
"271,The Island,335.48,Weekend,multiplex"
"272,Town & Country,430.96,Weekend,single screen"
"273,Gone in Sixty Seconds,475.59,Weekend,single screen"
"274,Gladiator,476.93,Weekend,multiplex"
"275,Minority Report,388.95,Weekend,single screen"
"276,Harry Potter and the Chamber of Secrets,552.18,Weekday,single screen"
"277,Casino Royale,508.7,Weekend,single screen"
"278,Planet of the Apes,478.52,Weekday,multiplex"
"279,Terminator 2: Judgment Day,127.8,Weekend,single screen"
"280,Public Enemies,103.44,Weekday,multiplex"
"281,American Gangster,206.22,Weekend,single screen"
"282,True Lies,431.76,Weekday,single screen"
"283,The Taking of Pelham 1 2 3,305.6,Weekend,multiplex"
"284,Little Fockers,301.2,Weekday,single screen"
"285,The Other Guys,542.29,Weekend,single screen"
"286,Eraser,547.78,Weekday,multiplex"
"287,Django Unchained,554.59,Weekend,multiplex"
"288,The Hunchback of Notre Dame,256.94,Weekday,multiplex"
"289,The Emperor's New Groove,445.53,Weekday,multiplex"
"290,The Expendables 2,235.82,Weekend,multiplex"
"291,National Treasure,195.3,Weekend,single screen"
"292,Eragon,192.32,Weekday,multiplex"
"293,Where the Wild Things Are,271.05,Weekend,single screen"
"294,Epic,314.98,Weekday,single screen"
"295,The Tourist,515.47,Weekday,single screen"
"296,End of Days,159.95,Weekday,multiplex"
"297,Blood Diamond,467.46,Weekend,multiplex"
"298,The Wolf of Wall Street,365.73,Weekday,single screen"
"299,Batman Forever,243.97,Weekday,multiplex"
"300,Starship Troopers,346.41,Weekend,multiplex"
"301,Cloud Atlas,249.97,Weekend,multiplex"
"302,Legend of the Guardians: The Owls of Ga'Hoole,398.04,Weekend,multiplex"
"303,Catwoman,316.92,Weekend,single screen"
"304,Hercules,182.2,Weekday,single screen"
"305,Treasure Planet,158.29,Weekday,multiplex"
"306,Land of the Lost,373.35,Weekday,single screen"
"307,The Expendables 3,158.0,Weekday,multiplex"
"308,Point Break,263.0,Weekend,multiplex"
"309,Son of the Mask,271.98,Weekday,single screen"
"310,In the Heart of the Sea,466.5,Weekday,single screen"
"311,The Adventures of Pluto Nash,429.33,Weekend,single screen"
"312,Green Zone,565.78,Weekday,multiplex"
"313,The Peanuts Movie,510.49,Weekday,single screen"
"314,The Spanish Prisoner,383.3,Weekday,multiplex"
"315,The Mummy Returns,428.52,Weekday,single screen"
"316,Gangs of New York,549.19,Weekday,single screen"
"317,The Flowers of War,299.76,Weekday,multiplex"
"318,Surf's Up,263.4,Weekend,multiplex"
"319,The Stepford Wives,105.41,Weekend,multiplex"
"320,Black Hawk Down,513.28,Weekday,multiplex"
"321,The Campaign,500.49,Weekday,multiplex"
"322,The Fifth Element,152.23,Weekend,multiplex"
"323,Sex and the City 2,388.43,Weekday,multiplex"
"324,The Road to El Dorado,331.99,Weekday,multiplex"
"325,Ice Age: Continental Drift,159.35,Weekday,single screen"
"326,Cinderella,590.28,Weekend,multiplex"
"327,The Lovely Bones,207.35,Weekday,multiplex"
"328,Finding Nemo,133.62,Weekend,single screen"
"329,The Lord of the Rings: The Return of the King,397.42,Weekday,multiplex"
"330,The Lord of the Rings: The Two Towers,469.43,Weekend,single screen"
"331,Seventh Son,116.22,Weekend,single screen"
"332,Lara Croft: Tomb Raider,429.36,Weekday,multiplex"
"333,Transcendence,366.15,Weekend,single screen"
"334,Jurassic Park III,151.63,Weekday,multiplex"
"335,Rise of the Planet of the Apes,186.26,Weekend,single screen"
"336,The Spiderwick Chronicles,383.99,Weekday,single screen"
"337,A Good Day to Die Hard,248.18,Weekday,single screen"
"338,The Alamo,569.16,Weekend,multiplex"
"339,The Incredibles,509.37,Weekday,multiplex"
"340,Cutthroat Island,591.78,Weekday,single screen"
"341,Percy Jackson & the Olympians: The Lightning Thief,229.84,Weekend,single screen"
"342,Men in Black,584.86,Weekday,multiplex"
"343,Toy Story 2,315.62,Weekday,multiplex"
"344,Unstoppable,273.76,Weekend,single screen"
"345,Rush Hour 2,125.17,Weekend,single screen"
"346,What Lies Beneath,126.38,Weekday,multiplex"
"347,Cloudy with a Chance of Meatballs,446.01,Weekday,multiplex"
"348,Ice Age: Dawn of the Dinosaurs,328.96,Weekend,multiplex"
"349,The Secret Life of Walter Mitty,213.26,Weekend,multiplex"
"350,Charlie's Angels,406.99,Weekday,multiplex"
"351,The Departed,226.43,Weekend,single screen"
"352,Mulan,388.82,Weekday,multiplex"
"353,Tropic Thunder,279.6,Weekday,single screen"
"354,The Girl with the Dragon Tattoo,511.78,Weekday,multiplex"
"355,Die Hard: With a Vengeance,510.35,Weekday,single screen"
"356,Sherlock Holmes,338.68,Weekday,multiplex"
"357,Ben-Hur,275.41,Weekend,multiplex"
"358,Atlantis: The Lost Empire,281.28,Weekend,single screen"
"359,Alvin and the Chipmunks: The Road Chip,502.86,Weekend,single screen"
"360,Valkyrie,264.09,Weekend,multiplex"
"361,You Don't Mess with the Zohan,204.53,Weekday,multiplex"
"362,Pixels,142.34,Weekday,multiplex"
"363,A.I. Artificial Intelligence,333.35,Weekday,multiplex"
"364,The Haunted Mansion,341.07,Weekday,multiplex"
"365,Contact,520.45,Weekend,single screen"
"366,Hollow Man,210.62,Weekday,single screen"
"367,The Interpreter,290.5,Weekday,multiplex"
"368,Percy Jackson: Sea of Monsters,504.2,Weekend,single screen"
"369,Lara Croft Tomb Raider: The Cradle of Life,511.81,Weekend,single screen"
"370,Now You See Me 2,292.31,Weekend,single screen"
"371,The Saint,329.56,Weekend,multiplex"
"372,Spy Game,251.64,Weekday,single screen"
"373,Mission to Mars,566.28,Weekday,multiplex"
"374,Rio,159.32,Weekend,single screen"
"375,Bicentennial Man,566.87,Weekday,multiplex"
"376,Volcano,441.93,Weekday,single screen"
"377,The Devil's Own,365.79,Weekday,multiplex"
"378,K-19: The Widowmaker,116.33,Weekend,multiplex"
"379,Conan the Barbarian,337.8,Weekday,single screen"
"380,Cinderella Man,303.87,Weekend,multiplex"
"381,The Nutcracker: The Untold Story,180.61,Weekday,multiplex"
"382,Seabiscuit,428.2,Weekday,multiplex"
"383,Twister,585.58,Weekday,multiplex"
"384,Cast Away,381.09,Weekend,multiplex"
"385,Happy Feet,457.38,Weekday,multiplex"
"386,The Bourne Supremacy,134.23,Weekend,multiplex"
"387,Air Force One,308.83,Weekend,multiplex"
"388,Ocean's Eleven,158.18,Weekend,single screen"
"389,The Three Musketeers,406.4,Weekday,single screen"
"390,Hotel Transylvania,569.24,Weekday,multiplex"
"391,Enchanted,430.89,Weekday,multiplex"
"392,Safe House,138.4,Weekday,single screen"
"393,102 Dalmatians,277.33,Weekend,single screen"
"394,Tower Heist,375.33,Weekend,single screen"
"395,The Holiday,301.6,Weekend,multiplex"
"396,Enemy of the State,516.82,Weekday,single screen"
"397,It's Complicated,507.34,Weekend,multiplex"
"398,Ocean's Thirteen,405.92,Weekday,multiplex"
"399,Open Season,286.73,Weekend,single screen"
"400,Divergent,227.67,Weekday,multiplex"
"401,Enemy at the Gates,152.94,Weekday,multiplex"
"402,The Rundown,277.45,Weekend,multiplex"
"403,Last Action Hero,306.59,Weekend,multiplex"
"404,Memoirs of a Geisha,437.91,Weekend,single screen"
"405,The Fast and the Furious: Tokyo Drift,429.08,Weekend,single screen"
"406,Arthur Christmas,135.05,Weekday,multiplex"
"407,Meet Joe Black,297.63,Weekend,multiplex"
"408,Collateral Damage,190.89,Weekend,single screen"
"409,All That Jazz,178.41,Weekend,multiplex"
"410,Mirror Mirror,513.65,Weekday,single screen"
"411,Scott Pilgrim vs. the World,120.96,Weekday,multiplex"
"412,The Core,309.59,Weekend,multiplex"
"413,Nutty Professor II: The Klumps,184.1,Weekday,single screen"
"414,Scooby-Doo,539.67,Weekend,single screen"
"415,Dredd,378.52,Weekday,single screen"
"416,Click,215.69,Weekday,single screen"
"417,Creepshow,351.21,Weekday,multiplex"
"418,Cats & Dogs 2 : The Revenge of Kitty Galore,465.74,Weekday,single screen"
"419,Jumper,579.06,Weekend,multiplex"
"420,Hellboy II: The Golden Army,210.22,Weekend,single screen"
"421,Zodiac,543.09,Weekend,single screen"
"422,The 6th Day,567.15,Weekday,multiplex"
"423,Bruce Almighty,301.0,Weekend,single screen"
"424,The Expendables,365.0,Weekend,single screen"
"425,Mission: Impossible,417.71,Weekend,single screen"
"426,The Hunger Games,414.91,Weekday,single screen"
"427,The Hangover Part II,301.61,Weekday,multiplex"
"428,Batman Returns,476.2,Weekday,multiplex"
"429,Over the Hedge,365.65,Weekend,single screen"
"430,Lilo & Stitch,438.72,Weekend,single screen"
"431,Charlotte's Web,314.23,Weekend,single screen"
"432,Deep Impact,465.75,Weekday,multiplex"
"433,RED 2,512.24,Weekday,multiplex"
"434,The Longest Yard,173.22,Weekend,multiplex"
"435,Alvin and the Chipmunks: Chipwrecked,516.46,Weekday,multiplex"
"436,Grown Ups 2,370.15,Weekday,single screen"
"437,Get Smart,522.33,Weekday,single screen"
"438,Something's Gotta Give,315.65,Weekday,single screen"
"439,Shutter Island,289.52,Weekend,multiplex"
"440,Four Christmases,557.53,Weekday,single screen"
"441,Robots,225.58,Weekday,multiplex"
"442,Face/Off,522.11,Weekday,multiplex"
"443,Bedtime Stories,342.01,Weekday,single screen"
"444,Road to Perdition,357.05,Weekend,single screen"
"445,Just Go with It,254.23,Weekend,single screen"
"446,Con Air,386.52,Weekday,multiplex"
"447,Eagle Eye,262.61,Weekday,multiplex"
"448,Cold Mountain,119.63,Weekday,single screen"
"449,The Book of Eli,236.0,Weekday,single screen"
"450,Flubber,103.19,Weekday,multiplex"
"451,The Haunting,589.18,Weekday,single screen"
"452,Space Jam,582.87,Weekend,multiplex"
"453,The Pink Panther,297.58,Weekday,multiplex"
"454,The Day the Earth Stood Still,464.19,Weekend,single screen"
"455,Conspiracy Theory,272.9,Weekend,single screen"
"456,Fury,435.55,Weekday,single screen"
"457,Six Days Seven Nights,502.72,Weekend,single screen"
"458,Yogi Bear,573.38,Weekend,multiplex"
"459,Spirit: Stallion of the Cimarron,300.11,Weekend,multiplex"
"460,Zookeeper,491.65,Weekend,multiplex"
"461,Lost in Space,232.96,Weekend,single screen"
"462,The Manchurian Candidate,595.17,Weekend,multiplex"
"463,Déjà Vu,112.88,Weekday,single screen"
"464,Hotel Transylvania 2,401.76,Weekend,single screen"
"465,Fantasia 2000,429.75,Weekend,single screen"
"466,The Time Machine,444.02,Weekend,single screen"
"467,Mighty Joe Young,160.19,Weekday,single screen"
"468,Swordfish,569.26,Weekend,single screen"
"469,The Legend of Zorro,190.59,Weekday,multiplex"
"470,What Dreams May Come,411.38,Weekend,single screen"
"471,Little Nicky,211.34,Weekday,multiplex"
"472,The Brothers Grimm,253.61,Weekday,multiplex"
"473,Mars Attacks!,373.23,Weekend,single screen"
"474,Evolution,308.6,Weekend,single screen"
"475,The Edge,180.11,Weekday,single screen"
"476,Surrogates,185.47,Weekend,multiplex"
"477,Thirteen Days,309.07,Weekday,single screen"
"478,Daylight,478.64,Weekday,multiplex"
"479,Walking With Dinosaurs,548.98,Weekday,single screen"
"480,Battlefield Earth,142.06,Weekday,single screen"
"481,Looney Tunes: Back in Action,296.55,Weekday,multiplex"
"482,Nine,150.12,Weekend,multiplex"
"483,Timeline,108.3,Weekday,single screen"
"484,The Postman,430.86,Weekday,multiplex"
"485,Babe: Pig in the City,401.22,Weekend,multiplex"
"486,The Last Witch Hunter,181.51,Weekday,multiplex"
"487,Red Planet,216.91,Weekend,multiplex"
"488,Arthur and the Invisibles,111.85,Weekend,multiplex"
"489,Oceans,517.47,Weekend,single screen"
"490,A Sound of Thunder,587.35,Weekday,single screen"
"491,Pompeii,167.73,Weekday,multiplex"
"492,Top Cat Begins,215.74,Weekday,single screen"
"493,A Beautiful Mind,534.2,Weekend,single screen"
"494,The Lion King,563.23,Weekday,multiplex"
"495,Journey 2: The Mysterious Island,309.81,Weekend,single screen"
"496,Cloudy with a Chance of Meatballs 2,125.31,Weekday,multiplex"
"497,Red Dragon,119.7,Weekend,multiplex"
"498,Hidalgo,386.97,Weekday,single screen"
"499,Jack and Jill,296.45,Weekday,multiplex"
"500,2 Fast 2 Furious,114.33,Weekday,single screen"
"501,The Little Prince,391.63,Weekday,single screen"
"502,The Invasion,105.65,Weekend,multiplex"
"503,The Adventures of Rocky & Bullwinkle,493.69,Weekday,single screen"
"504,The Secret Life of Pets,253.22,Weekday,multiplex"
"505,The League of Extraordinary Gentlemen,120.13,Weekday,single screen"
"506,Despicable Me 2,234.0,Weekday,multiplex"
"507,Independence Day,184.86,Weekend,multiplex"
"508,The Lost World: Jurassic Park,109.57,Weekday,single screen"
"509,Madagascar,489.55,Weekend,single screen"
"510,Children of Men,404.85,Weekend,multiplex"
"511,X-Men,449.82,Weekday,multiplex"
"512,Wanted,519.08,Weekend,single screen"
"513,The Rock,501.41,Weekend,single screen"
